,latitude,longitude,start_time,city_name,title,url,venue_name,venue_address,postal_code,all_day,calendar_count,comment_count
16,47.5667,7.6,2019-09-02 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090214?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
17,47.5667,7.6,2019-09-03 19:00:00,Basel,Cancer immunotherapy: predict outcomes better with combination biomarkers,http://eventful.com/events/cancer-immunotherapy-predict-outcome-/E0-001-130123283-6@2019090319?utm_source=apis&utm_medium=apim&utm_campaign=apic,Basel,Online lectures,,0,,
18,47.5667,7.6,2019-09-03 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090314?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
19,47.5667,7.6,2019-09-03 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090314?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
20,47.5667,7.6,2019-09-03 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090314?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
21,47.5667,7.6,2019-09-03 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090314?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
22,47.5667,7.6,2019-09-03 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090314?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
23,47.5667,7.6,2019-09-03 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283186-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
24,47.5667,7.6,2019-09-03 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090319?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
25,47.5463253,7.586837299999999,2019-09-03 18:00:00,Basel,"«tell» Diskutieren Sie mit, wem Sie Ihre Daten anvertrauen",http://eventful.com/events/tell-diskutieren-sie-mit-wem-sie-ihre-daten-anvertrauen-/E0-001-128514680-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Auditorium im Meret Oppenheim Haus,"Meret Oppenheim-Platz 1b , (Eingang Güterstrasse)",,0,,
